Bank,Year,Topic,N_Sentences,Substantive Rate,Washing Rate,Mean ES,EWRI Approx
agribank,2020,E,38,0.632,0.368,0.447,0.461
agribank,2020,G,65,0.462,0.538,0.441,0.549
agribank,2020,S_community,54,0.593,0.389,0.444,0.482
agribank,2020,S_labor,15,0.467,0.533,0.385,0.574
agribank,2020,S_product,92,0.598,0.38,0.443,0.48
agribank,2021,E,15,0.4,0.467,0.43,0.585
agribank,2021,G,45,0.444,0.556,0.457,0.549
agribank,2021,S_community,47,0.383,0.617,0.427,0.595
agribank,2021,S_labor,35,0.486,0.514,0.397,0.559
agribank,2021,S_product,74,0.568,0.419,0.432,0.5
agribank,2022,E,49,0.367,0.612,0.432,0.601
agribank,2022,G,134,0.44,0.545,0.449,0.555
agribank,2022,S_community,60,0.483,0.5,0.433,0.542
agribank,2022,S_labor,60,0.567,0.433,0.422,0.506
agribank,2022,S_product,116,0.552,0.431,0.445,0.502
agribank,2023,E,90,0.511,0.411,0.452,0.518
agribank,2023,G,156,0.429,0.564,0.447,0.562
agribank,2023,S_community,71,0.507,0.493,0.443,0.525
agribank,2023,S_labor,100,0.41,0.57,0.434,0.578
agribank,2023,S_product,135,0.637,0.356,0.432,0.465
agribank,2024,E,153,0.425,0.542,0.441,0.567
agribank,2024,G,204,0.436,0.539,0.45,0.557
agribank,2024,S_community,56,0.571,0.375,0.453,0.488
agribank,2024,S_labor,115,0.322,0.678,0.426,0.626
agribank,2024,S_product,112,0.536,0.446,0.431,0.516
bidv,2020,E,82,0.61,0.354,0.435,0.478
bidv,2020,G,360,0.478,0.506,0.452,0.535
bidv,2020,S_community,88,0.545,0.409,0.429,0.513
bidv,2020,S_labor,163,0.436,0.546,0.445,0.56
bidv,2020,S_product,123,0.772,0.211,0.455,0.386
bidv,2021,E,116,0.638,0.328,0.453,0.455
bidv,2021,G,429,0.431,0.55,0.459,0.555
bidv,2021,S_community,85,0.541,0.435,0.448,0.505
bidv,2021,S_labor,184,0.38,0.587,0.433,0.593
bidv,2021,S_product,247,0.615,0.348,0.449,0.468
bidv,2022,E,140,0.5,0.364,0.471,0.515
bidv,2022,G,634,0.262,0.692,0.464,0.637
bidv,2022,S_community,85,0.376,0.588,0.45,0.587
bidv,2022,S_labor,194,0.361,0.639,0.435,0.602
bidv,2022,S_product,194,0.531,0.433,0.449,0.51
bidv,2023,E,73,0.479,0.452,0.465,0.528
bidv,2023,G,626,0.308,0.655,0.478,0.607
bidv,2023,S_community,51,0.431,0.569,0.449,0.56
bidv,2023,S_labor,117,0.308,0.692,0.431,0.631
bidv,2023,S_product,94,0.553,0.426,0.43,0.508
bidv,2024,E,93,0.441,0.495,0.459,0.55
bidv,2024,G,666,0.354,0.601,0.474,0.586
bidv,2024,S_community,40,0.5,0.5,0.425,0.537
bidv,2024,S_labor,127,0.307,0.677,0.436,0.629
bidv,2024,S_product,152,0.441,0.559,0.426,0.566
bsc,2020,E,43,0.07,0.93,0.459,0.736
bsc,2020,G,76,0.0,1.0,0.478,0.761
bsc,2020,S_community,6,0.0,1.0,0.425,0.787
bsc,2020,S_labor,75,0.027,0.973,0.473,0.75
bsc,2020,S_product,19,0.053,0.947,0.519,0.714
bsc,2021,E,26,0.385,0.615,0.37,0.623
bsc,2021,G,320,0.175,0.816,0.448,0.688
bsc,2021,S_community,23,0.304,0.696,0.403,0.646
bsc,2021,S_labor,103,0.243,0.738,0.418,0.67
bsc,2021,S_product,94,0.404,0.574,0.433,0.581
bsc,2022,E,12,0.167,0.833,0.43,0.702
bsc,2022,G,323,0.176,0.805,0.454,0.685
bsc,2022,S_community,40,0.325,0.675,0.374,0.65
bsc,2022,S_labor,101,0.208,0.792,0.414,0.689
bsc,2022,S_product,98,0.255,0.704,0.427,0.659
bsc,2023,E,26,0.154,0.846,0.469,0.689
bsc,2023,G,448,0.158,0.833,0.503,0.669
bsc,2023,S_community,33,0.242,0.758,0.402,0.678
bsc,2023,S_labor,95,0.189,0.811,0.418,0.696
bsc,2023,S_product,100,0.22,0.74,0.417,0.681
bsc,2024,E,28,0.286,0.714,0.4,0.657
bsc,2024,G,417,0.182,0.808,0.471,0.673
bsc,2024,S_community,37,0.216,0.784,0.434,0.675
bsc,2024,S_labor,103,0.107,0.893,0.436,0.728
bsc,2024,S_product,110,0.227,0.764,0.425,0.674
mbbank,2020,E,24,0.458,0.5,0.431,0.555
mbbank,2020,G,299,0.338,0.619,0.471,0.596
mbbank,2020,S_community,49,0.531,0.429,0.431,0.519
mbbank,2020,S_labor,75,0.267,0.733,0.439,0.647
mbbank,2020,S_product,73,0.425,0.425,0.441,0.567
mbbank,2021,E,68,0.382,0.5,0.455,0.581
mbbank,2021,G,399,0.366,0.622,0.458,0.588
mbbank,2021,S_community,57,0.632,0.368,0.45,0.459
mbbank,2021,S_labor,99,0.414,0.586,0.415,0.585
mbbank,2021,S_product,114,0.465,0.447,0.449,0.543
mbbank,2022,E,147,0.388,0.531,0.45,0.581
mbbank,2022,G,540,0.304,0.681,0.458,0.619
mbbank,2022,S_community,72,0.5,0.486,0.427,0.537
mbbank,2022,S_labor,169,0.325,0.657,0.44,0.617
mbbank,2022,S_product,202,0.396,0.5,0.444,0.58
mbbank,2023,E,140,0.386,0.529,0.45,0.582
mbbank,2023,G,451,0.353,0.625,0.467,0.59
mbbank,2023,S_community,101,0.495,0.426,0.462,0.521
mbbank,2023,S_labor,187,0.294,0.695,0.459,0.623
mbbank,2023,S_product,260,0.408,0.523,0.438,0.577
mbbank,2024,E,194,0.433,0.541,0.456,0.555
mbbank,2024,G,737,0.32,0.664,0.468,0.606
mbbank,2024,S_community,80,0.362,0.575,0.441,0.598
mbbank,2024,S_labor,202,0.282,0.713,0.442,0.638
mbbank,2024,S_product,345,0.403,0.496,0.438,0.579
ocb,2020,E,23,0.348,0.609,0.432,0.61
ocb,2020,G,90,0.4,0.589,0.426,0.587
ocb,2020,S_community,4,0.0,1.0,0.352,0.824
ocb,2020,S_labor,19,0.421,0.579,0.458,0.56
ocb,2020,S_product,24,0.25,0.667,0.389,0.68
ocb,2021,E,52,0.346,0.635,0.468,0.593
ocb,2021,G,221,0.466,0.525,0.45,0.542
ocb,2021,S_community,30,0.667,0.333,0.372,0.481
ocb,2021,S_labor,59,0.593,0.407,0.458,0.474
ocb,2021,S_product,89,0.472,0.528,0.49,0.519
ocb,2022,E,43,0.395,0.581,0.423,0.591
ocb,2022,G,203,0.478,0.483,0.452,0.535
ocb,2022,S_community,15,0.2,0.8,0.405,0.698
ocb,2022,S_labor,42,0.452,0.548,0.433,0.557
ocb,2022,S_product,66,0.606,0.348,0.436,0.479
ocb,2023,E,128,0.266,0.719,0.433,0.651
ocb,2023,G,212,0.462,0.491,0.447,0.545
ocb,2023,S_community,7,0.571,0.429,0.385,0.522
ocb,2023,S_labor,62,0.435,0.5,0.437,0.564
ocb,2023,S_product,88,0.557,0.375,0.42,0.511
ocb,2024,E,195,0.446,0.497,0.437,0.558
ocb,2024,G,209,0.383,0.598,0.466,0.576
ocb,2024,S_community,74,0.432,0.554,0.42,0.574
ocb,2024,S_labor,135,0.348,0.652,0.432,0.61
ocb,2024,S_product,188,0.378,0.58,0.423,0.6
shb,2020,E,118,0.373,0.585,0.43,0.599
shb,2020,G,398,0.389,0.57,0.463,0.574
shb,2020,S_community,71,0.479,0.521,0.423,0.549
shb,2020,S_labor,110,0.318,0.682,0.424,0.629
shb,2020,S_product,128,0.32,0.602,0.438,0.621
shb,2021,E,117,0.402,0.564,0.425,0.586
shb,2021,G,367,0.351,0.635,0.463,0.593
shb,2021,S_community,65,0.462,0.538,0.43,0.554
shb,2021,S_labor,128,0.312,0.68,0.424,0.632
shb,2021,S_product,129,0.395,0.574,0.429,0.588
shb,2022,E,129,0.295,0.682,0.434,0.636
shb,2022,G,512,0.301,0.686,0.463,0.618
shb,2022,S_community,54,0.278,0.722,0.435,0.644
shb,2022,S_labor,128,0.273,0.727,0.408,0.659
shb,2022,S_product,130,0.338,0.615,0.421,0.62
shb,2023,E,131,0.336,0.588,0.444,0.61
shb,2023,G,520,0.269,0.702,0.469,0.631
shb,2023,S_community,92,0.37,0.63,0.449,0.591
shb,2023,S_labor,170,0.324,0.676,0.423,0.627
shb,2023,S_product,138,0.297,0.645,0.433,0.635
shb,2024,E,182,0.341,0.571,0.445,0.607
shb,2024,G,637,0.272,0.713,0.466,0.631
shb,2024,S_community,119,0.303,0.613,0.434,0.632
shb,2024,S_labor,196,0.26,0.735,0.432,0.654
