bank,ewri_mean,ewri_std,ewri_min,ewri_max,ewri_old_mean,total_sentences,impl_ratio,plan_ratio,indet_ratio,ev_ratio,avg_es,topic_entropy,rank
agribank,34.104,1.717,31.68,36.49,51.924,1544,0.368,0.027,0.605,0.301,0.159,0.934,1
vpbank,35.054,1.535,33.71,37.54,52.838,4513,0.349,0.028,0.623,0.252,0.16,0.788,2
mbbank,35.068,1.284,33.47,36.74,52.956,3485,0.337,0.033,0.63,0.303,0.175,0.832,3
bidv,35.168,1.852,33.02,36.79,52.9,4330,0.343,0.035,0.622,0.256,0.164,0.744,4
ocb,35.336,1.849,33.63,37.76,53.26,1716,0.344,0.014,0.642,0.258,0.168,0.808,5
viettinbank,35.344,1.75,33.09,37.63,53.226,5155,0.337,0.021,0.642,0.244,0.176,0.753,6
shb,36.034,0.856,34.99,37.33,54.032,3898,0.328,0.024,0.648,0.23,0.159,0.788,7
techcombank,37.178,0.22,36.85,37.39,55.426,4303,0.293,0.038,0.669,0.246,0.159,0.833,8
vietcombank,38.72,2.77,35.17,41.73,57.006,1550,0.274,0.022,0.704,0.221,0.151,0.81,9
bsc,41.498,2.701,38.36,45.75,59.598,1766,0.219,0.015,0.767,0.184,0.164,0.716,10
